slane
bbbbb,court
bbbby,deter
bbbbg,trice
bbbyb,tonic
bbbyy,inner
bbbyg,hinge
bbbgb,grind
bbbgy,eying
bbbgg,prone
bbybb,carat
bbyby,cater
bbybg,barge
bbyyb,canon
bbyyy,raven
bbyyg,mange
bbygb,faint
bbygy,arena
bbygg,atone
bbgbb,chart
bbgby,heart
bbgbg,crate
bbgyb,drain
bbgyy,yearn
bbgyg,knave
bbggb,grand
bbggy,meant
bbggg,inane
bybbb,dilly
bybby,libel
bybbg,bilge
bybyb,nylon
bybyy,linen
bybyg,lunge
bybgb,lying
byybb,rally
bybby,legal
byybg,table
byyyb,banal
byyyy,panel
byyyg,angle
bygbb,trawl
bygby,leapt
bygbg,leave
bygyy,learn
byggy,leant
bgbbb,climb
bgbby,elect
bgbbg,elope
bgbyg,blown
bgbyy,olden
bgbgb,fling
bgbgy,blend
bgbgg,clone
bgybb,float
bgyby,pleat
bgybg,alike
bgyyb,align
bgyyy,glean
bgygb,along
bgygg,alone
bggbb,clamp
bggbg,blare
bggyb,plain
bgggb,blank
bgggg,plane
ybbbb,moist
ybbby,reset
ybbbg,rouse
ybbyb,bonus
ybbyy,onset
ybbyg,noise
ybbgb,using
ybybb,tasty
ybyby,essay
ybybg,pause
ybyyb,arson
ybyyy,ashen
ybgbb,trash
ybgby,yeast
ybgbg,chase
ybgyb,gnash
yybbb,lupus
yybby,islet
yybbg,louse
yyybb,basil
yyyby,easel
yyybg,lapse
yyyyb,nasal
yygbb,psalm
yygby,least
yygbg,lease
ygbbb,floss
ygbby,flesh
ygbbg,close
yggbb,class
gbbbb,short
gbbby,sweep
gbbbg,spire
gbbyb,swoon
gbbyy,stein
gbbyg,singe
gbbgb,stung
gbbgy,spend
gbbgg,scone
gbybb,scrap
gbyby,steak
gbybg,saute
gbyyb,sonar
gbyyy,sneak
gbygb,spawn
gbgyg,snare
gbggb,stand
gybbb,spill
gybby,spiel
gybbg,stole
gyybb,sally
gyyby,steal
gyybg,salve
gyyyb,salon
gygbb,stall
gygbg,stale
gygyb,snarl
ggbbb,slump
ggbby,slept
ggbbg,slide
ggbgb,slung
gggbb,slack
gggbg,slave
gggyb,slain
ggggb,slang
